Unique Identifier,Product,What is your gender? - label,What is your gender? - value,What is your age group? - label,What is your age group? - value,How much do you like or dislike the PACKAGING for this product? - label,How much do you like or dislike the PACKAGING for this product? - value,In scale 1-10 how much do you think this description match with the product PACKAGING - FUN,In scale 1-10 how much do you think this description match with the product PACKAGING - CONVENIENT,In scale 1-10 how much do you think this description match with the product PACKAGING - FAMILIAR,In scale 1-10 how much do you think this description match with the product PACKAGING - CHEAP,In scale 1-10 how much do you think this description match with the product PACKAGING - BORING,In scale 1-10 how much do you think this description match with the product PACKAGING - INDIFFERENT,In scale 1-10 how much do you think this description match with the product PACKAGING - PLAIN,In scale 1-10 how much do you think this description match with the product PACKAGING - PREMIUM,"Before tasting the product, how likely would you be to purchase this product, if you didn't have to buy it for this study? - label","Before tasting the product, how likely would you be to purchase this product, if you didn't have to buy it for this study? - value",Open the packaging. How much do you like or dislike the APPEARANCE of the products? - label,Open the packaging. How much do you like or dislike the APPEARANCE of the products? - value,How would you rate the AMOUNT OF SEASONING of the products? - label,How would you rate the AMOUNT OF SEASONING of the products? - value,Taste the products. How do you like the products OVERALL? - label,Taste the products. How do you like the products OVERALL? - value,How much do you like or dislike the FLAVOR of the products? - label,How much do you like or dislike the FLAVOR of the products? - value,How would you rate the FLAVOR of the products? - label,How would you rate the FLAVOR of the products? - value,How much do you like or dislike the TEXTURE of the products? - label,How much do you like or dislike the TEXTURE of the products? - value,How much do you like or dislike the AFTERTASTE of the products? - label,How much do you like or dislike the AFTERTASTE of the products? - value,"Now that you have tasted the products, how likely would you be to re-purchase the products? - label","Now that you have tasted the products, how likely would you be to re-purchase the products? - value"
100238,C,Female,2,35-44,3,Like Extremely (9),9,5,5,3,3,2,3,3,8,Probably would not purchase (2),2,Like Moderately (7),7,Just about right (3),3,Like Very Much (8),8,Like Slightly (6),6,Not quite strong enough (2),2,Like Very Much (8),8,Like Extremely (9),9,Probably would not purchase (2),2
100239,C,Male,1,45-55,4,Like Very Much (8),8,5,4,6,3,2,3,8,6,Probably would not purchase (2),2,Neither Like nor Dislike (5),5,Just about right (3),3,Like Slightly (6),6,Like Slightly (6),6,Just about right (3),3,Neither Like nor Dislike (5),5,Like Very Much (8),8,Might or might not purchase (3),3
100240,C,Female,2,35-44,3,Like Slightly (6),6,8,8,6,8,3,4,4,3,Might or might not purchase (3),3,Like Very Much (8),8,Just about right (3),3,Like Moderately (7),7,Like Moderately (7),7,Just about right (3),3,Like Slightly (6),6,Like Moderately (7),7,Might or might not purchase (3),3
100241,C,Female,2,45-55,4,Like Very Much (8),8,6,5,8,3,2,3,3,7,Might or might not purchase (3),3,Like Moderately (7),7,Just about right (3),3,Like Very Much (8),8,Like Very Much (8),8,Just about right (3),3,Like Very Much (8),8,Like Very Much (8),8,Probably would purchase (4),4
100242,C,Female,2,35-44,3,Like Very Much (8),8,6,3,8,2,2,5,3,9,Might or might not purchase (3),3,Like Moderately (7),7,Much too much (5),5,Like Moderately (7),7,Like Moderately (7),7,Slightly too strong (4),4,Like Moderately (7),7,Like Moderately (7),7,Might or might not purchase (3),3
100243,C,Female,2,35-44,3,Like Very Much (8),8,7,3,3,3,2,7,3,8,Probably would purchase (4),4,Like Extremely (9),9,Just about right (3),3,Like Extremely (9),9,Like Extremely (9),9,Just about right (3),3,Like Very Much (8),8,Like Very Much (8),8,Definitely would purchase (5),5
100244,C,Female,2,35-44,3,Like Moderately (7),7,8,8,8,3,4,3,3,3,Might or might not purchase (3),3,Like Moderately (7),7,Somewhat too little (2),2,,,Like Moderately (7),7,Not quite strong enough (2),2,Like Very Much (8),8,Like Moderately (7),7,Might or might not purchase (3),3
100245,C,Female,2,18-34,2,Like Moderately (7),7,5,8,6,4,8,6,4,4,Probably would not purchase (2),2,Like Moderately (7),7,Somewhat too little (2),2,Like Moderately (7),7,Like Moderately (7),7,Not quite strong enough (2),2,Like Moderately (7),7,Dislike Moderately (3),3,Probably would not purchase (2),2
100246,C,Female,2,45-55,4,Like Slightly (6),6,8,2,8,2,3,3,5,6,Might or might not purchase (3),3,Like Slightly (6),6,Just about right (3),3,Like Moderately (7),7,Like Moderately (7),7,Just about right (3),3,Like Moderately (7),7,Like Slightly (6),6,Probably would purchase (4),4
100247,C,Female,2,45-55,4,Like Very Much (8),8,7,8,8,3,2,5,3,6,Definitely would purchase (5),5,Like Very Much (8),8,Just about right (3),3,Like Very Much (8),8,Like Extremely (9),9,Just about right (3),3,Like Very Much (8),8,Like Very Much (8),8,Definitely would purchase (5),5
100248,C,Female,2,35-44,3,Like Very Much (8),8,8,8,4,3,2,8,5,8,Probably would purchase (4),4,Like Very Much (8),8,Just about right (3),3,Dislike Extremely (1),1,Dislike Extremely (1),1,Not quite strong enough (2),2,Like Very Much (8),8,Dislike Extremely (1),1,Definitely would not purchase (1),1
100249,C,Female,2,35-44,3,Like Extremely (9),9,7,4,8,3,3,3,5,5,Definitely would purchase (5),5,Like Extremely (9),9,Just about right (3),3,Like Extremely (9),9,Like Extremely (9),9,Just about right (3),3,Like Extremely (9),9,Like Extremely (9),9,Definitely would purchase (5),5
100250,C,Female,2,35-44,3,Like Extremely (9),9,5,8,8,5,7,5,2,3,Probably would purchase (4),4,Like Very Much (8),8,Just about right (3),3,Like Very Much (8),8,Like Very Much (8),8,Just about right (3),3,Like Very Much (8),8,Like Slightly (6),6,Probably would purchase (4),4
100251,C,Female,2,45-55,4,Like Extremely (9),9,4,3,6,5,3,4,2,8,Probably would not purchase (2),2,Like Extremely (9),9,Just about right (3),3,Like Moderately (7),7,Like Moderately (7),7,Slightly too strong (4),4,Like Moderately (7),7,Dislike Very Much (2),2,Probably would not purchase (2),2
100252,C,Male,1,35-44,3,Like Very Much (8),8,8,8,8,2,3,4,5,7,Definitely would purchase (5),5,Dislike Very Much (2),2,Just about right (3),3,Like Moderately (7),7,Like Very Much (8),8,Just about right (3),3,Dislike Slightly (4),4,Like Very Much (8),8,,
100253,C,Female,2,45-55,4,Like Very Much (8),8,8,7,5,4,3,8,6,4,Probably would purchase (4),4,Like Moderately (7),7,Just about right (3),3,Like Very Much (8),8,Like Very Much (8),8,Just about right (3),3,Like Very Much (8),8,Like Slightly (6),6,Probably would purchase (4),4
100254,C,Female,2,45-55,4,Like Moderately (7),7,8,8,8,5,3,3,3,5,Probably would purchase (4),4,Like Moderately (7),7,Just about right (3),3,Like Slightly (6),6,Like Slightly (6),6,Just about right (3),3,Like Slightly (6),6,Neither Like nor Dislike (5),5,Probably would purchase (4),4
100255,C,Female,2,18-34,2,Dislike Slightly (4),4,5,3,4,5,2,5,8,3,Probably would purchase (4),4,Like Moderately (7),7,Much too much (5),5,Like Moderately (7),7,Like Moderately (7),7,Slightly too strong (4),4,Like Moderately (7),7,Dislike Slightly (4),4,Might or might not purchase (3),3
100256,C,Male,1,18-34,2,Like Extremely (9),9,6,5,5,5,2,5,5,8,Definitely would purchase (5),5,Like Extremely (9),9,Just about right (3),3,Like Extremely (9),9,Like Extremely (9),9,Just about right (3),3,Like Extremely (9),9,Like Extremely (9),9,Definitely would purchase (5),5
100257,C,Female,2,45-55,4,Like Very Much (8),8,7,7,4,2,4,2,6,3,Probably would purchase (4),4,Like Very Much (8),8,Just about right (3),3,Like Extremely (9),9,Like Extremely (9),9,Just about right (3),3,Like Very Much (8),8,Like Extremely (9),9,Definitely would purchase (5),5
100258,C,Female,2,18-34,2,Like Moderately (7),7,3,5,8,7,6,4,4,2,Definitely would not purchase (1),1,Like Slightly (6),6,Just about right (3),3,Like Very Much (8),8,Like Moderately (7),7,Just about right (3),3,Like Moderately (7),7,Like Very Much (8),8,Probably would purchase (4),4
100259,C,Female,2,45-55,4,Like Extremely (9),9,7,3,6,3,2,3,4,7,Definitely would purchase (5),5,Like Extremely (9),9,Just about right (3),3,,,Like Extremely (9),9,Just about right (3),3,Like Extremely (9),9,Like Extremely (9),9,Definitely would purchase (5),5
100260,C,Female,2,18-34,2,Like Very Much (8),8,7,3,6,3,6,3,2,5,Definitely would purchase (5),5,Like Very Much (8),8,Just about right (3),3,Like Very Much (8),8,Like Very Much (8),8,Just about right (3),3,Like Very Much (8),8,Like Very Much (8),8,Definitely would purchase (5),5
100261,C,Female,2,18-34,2,Like Very Much (8),8,7,6,8,3,3,4,3,5,Definitely would purchase (5),5,Like Extremely (9),9,Just about right (3),3,Like Extremely (9),9,Like Extremely (9),9,Just about right (3),3,Like Extremely (9),9,Like Extremely (9),9,Definitely would purchase (5),5
100262,C,Male,1,18-34,2,Like Very Much (8),8,8,7,5,4,1,5,8,5,Might or might not purchase (3),3,Like Slightly (6),6,Just about right (3),3,Like Moderately (7),7,Like Slightly (6),6,Just about right (3),3,Like Slightly (6),6,Dislike Slightly (4),4,Might or might not purchase (3),3
100263,C,Female,2,35-44,3,Like Very Much (8),8,8,7,2,3,3,3,3,7,Might or might not purchase (3),3,Like Moderately (7),7,Just about right (3),3,,,Like Very Much (8),8,Just about right (3),3,Like Very Much (8),8,Like Moderately (7),7,Probably would purchase (4),4
100264,C,Female,2,18-34,2,Like Extremely (9),9,5,8,5,5,3,7,3,3,Definitely would purchase (5),5,Like Extremely (9),9,Somewhat too much (4),4,Like Very Much (8),8,Like Extremely (9),9,Just about right (3),3,Like Moderately (7),7,Like Extremely (9),9,Probably would purchase (4),4
100265,C,Female,2,18-34,2,Like Very Much (8),8,8,7,4,8,3,3,3,6,Might or might not purchase (3),3,Like Very Much (8),8,Somewhat too little (2),2,Like Slightly (6),6,Dislike Slightly (4),4,Not quite strong enough (2),2,Dislike Slightly (4),4,Like Slightly (6),6,Probably would not purchase (2),2
100266,C,Female,2,18-34,2,Like Very Much (8),8,8,5,6,3,3,4,4,5,Might or might not purchase (3),3,Like Very Much (8),8,Just about right (3),3,Like Moderately (7),7,Like Very Much (8),8,Just about right (3),3,Like Very Much (8),8,Like Very Much (8),8,Definitely would purchase (5),5
100267,C,Male,1,18-34,2,Like Moderately (7),7,6,5,8,2,2,3,4,7,Probably would purchase (4),4,Dislike Slightly (4),4,Somewhat too little (2),2,Like Slightly (6),6,Like Slightly (6),6,Just about right (3),3,Like Slightly (6),6,Dislike Slightly (4),4,Probably would purchase (4),4
100268,C,Female,2,35-44,3,Like Very Much (8),8,8,6,3,4,2,3,5,7,Probably would purchase (4),4,Like Very Much (8),8,Somewhat too much (4),4,Like Very Much (8),8,Like Very Much (8),8,Slightly too strong (4),4,Like Extremely (9),9,Like Moderately (7),7,Might or might not purchase (3),3
100269,C,Female,2,18-34,2,Dislike Slightly (4),4,3,5,6,8,3,7,3,5,Probably would not purchase (2),2,Dislike Slightly (4),4,Much too much (5),5,Like Slightly (6),6,Like Moderately (7),7,Much too strong (5),5,Dislike Very Much (2),2,Like Slightly (6),6,Probably would not purchase (2),2
100270,C,Female,2,56-64,5,Like Moderately (7),7,6,8,3,3,2,7,5,7,Probably would not purchase (2),2,Like Very Much (8),8,Just about right (3),3,Like Very Much (8),8,Like Very Much (8),8,Just about right (3),3,Like Very Much (8),8,Neither Like nor Dislike (5),5,Probably would purchase (4),4
100271,C,Female,2,35-44,3,Like Moderately (7),7,8,6,7,2,3,3,6,8,Probably would not purchase (2),2,Like Slightly (6),6,Somewhat too much (4),4,Dislike Slightly (4),4,Like Slightly (6),6,Slightly too strong (4),4,Dislike Moderately (3),3,Neither Like nor Dislike (5),5,Probably would not purchase (2),2
100272,C,Male,1,56-64,5,Like Very Much (8),8,5,7,4,3,3,2,3,8,Probably would purchase (4),4,Like Very Much (8),8,Just about right (3),3,Like Very Much (8),8,Like Very Much (8),8,Just about right (3),3,Like Very Much (8),8,Like Very Much (8),8,Definitely would purchase (5),5
100273,C,Female,2,18-34,2,Like Moderately (7),7,6,3,6,3,3,3,3,6,Probably would purchase (4),4,Like Moderately (7),7,Somewhat too much (4),4,Like Moderately (7),7,Like Moderately (7),7,Slightly too strong (4),4,Like Very Much (8),8,Like Moderately (7),7,Probably would purchase (4),4
100274,C,Female,2,35-44,3,Like Very Much (8),8,8,8,6,7,2,2,3,6,Probably would purchase (4),4,Like Extremely (9),9,Just about right (3),3,Dislike Moderately (3),3,Dislike Moderately (3),3,Slightly too strong (4),4,Like Extremely (9),9,Dislike Extremely (1),1,,
100275,C,Female,2,45-55,4,Like Very Much (8),8,9,7,3,2,3,3,3,4,Definitely would purchase (5),5,Like Very Much (8),8,Just about right (3),3,Like Extremely (9),9,Like Extremely (9),9,Just about right (3),3,Like Extremely (9),9,Like Very Much (8),8,,
100276,C,Female,2,35-44,3,Like Extremely (9),9,5,8,4,3,3,6,3,8,Might or might not purchase (3),3,Like Extremely (9),9,Just about right (3),3,Like Extremely (9),9,Like Extremely (9),9,Just about right (3),3,Like Extremely (9),9,Like Very Much (8),8,Definitely would purchase (5),5
100277,C,Female,2,56-64,5,Like Moderately (7),7,7,7,8,3,2,4,5,5,Probably would purchase (4),4,Like Moderately (7),7,Just about right (3),3,Like Moderately (7),7,Like Moderately (7),7,Just about right (3),3,Neither Like nor Dislike (5),5,Like Slightly (6),6,Probably would purchase (4),4
100278,C,Female,2,35-44,3,Like Very Much (8),8,8,3,8,2,3,3,6,6,Probably would purchase (4),4,Like Very Much (8),8,Just about right (3),3,Like Very Much (8),8,Like Very Much (8),8,Just about right (3),3,Like Very Much (8),8,Like Very Much (8),8,Probably would purchase (4),4
100279,C,Female,2,35-44,3,Like Very Much (8),8,7,8,5,5,2,4,5,5,Might or might not purchase (3),3,Like Very Much (8),8,Just about right (3),3,Like Very Much (8),8,Like Very Much (8),8,Just about right (3),3,Like Very Much (8),8,Like Moderately (7),7,Probably would purchase (4),4
100280,C,Female,2,18-34,2,Like Extremely (9),9,4,5,8,2,6,2,7,3,Definitely would purchase (5),5,Like Very Much (8),8,Somewhat too much (4),4,Like Extremely (9),9,Like Extremely (9),9,Just about right (3),3,Like Extremely (9),9,Like Extremely (9),9,Definitely would purchase (5),5
100281,C,Female,2,18-34,2,Like Very Much (8),8,6,7,4,7,3,3,7,4,Definitely would purchase (5),5,Like Very Much (8),8,Just about right (3),3,Like Very Much (8),8,Like Very Much (8),8,Just about right (3),3,Like Extremely (9),9,Like Very Much (8),8,Definitely would purchase (5),5
100282,C,Female,2,18-34,2,Like Extremely (9),9,6,4,5,8,3,4,3,6,Might or might not purchase (3),3,Like Extremely (9),9,Much too much (5),5,Like Very Much (8),8,Like Extremely (9),9,Just about right (3),3,Like Extremely (9),9,Like Moderately (7),7,Probably would purchase (4),4
100283,C,Female,2,35-44,3,Like Extremely (9),9,7,8,5,2,3,2,4,6,Probably would purchase (4),4,Like Extremely (9),9,Just about right (3),3,Like Extremely (9),9,Like Extremely (9),9,Just about right (3),3,Like Extremely (9),9,Like Extremely (9),9,Definitely would purchase (5),5
100284,C,Female,2,35-44,3,Like Extremely (9),9,7,4,8,1,3,6,3,8,Definitely would purchase (5),5,Like Extremely (9),9,Much too much (5),5,Like Very Much (8),8,Like Very Much (8),8,Slightly too strong (4),4,Like Extremely (9),9,Like Very Much (8),8,Definitely would purchase (5),5
100285,C,Female,2,35-44,3,Like Extremely (9),9,5,6,8,3,5,3,7,8,Might or might not purchase (3),3,Like Very Much (8),8,Just about right (3),3,Like Extremely (9),9,Like Extremely (9),9,Just about right (3),3,Like Extremely (9),9,Like Very Much (8),8,Definitely would purchase (5),5
100286,C,Female,2,35-44,3,Like Moderately (7),7,8,8,8,3,3,2,5,6,Might or might not purchase (3),3,Like Very Much (8),8,Somewhat too much (4),4,Like Slightly (6),6,Neither Like nor Dislike (5),5,Slightly too strong (4),4,Like Very Much (8),8,Neither Like nor Dislike (5),5,Probably would not purchase (2),2
100287,C,Male,1,56-64,5,Like Very Much (8),8,4,5,5,3,5,7,3,8,Definitely would purchase (5),5,Like Very Much (8),8,Just about right (3),3,Like Very Much (8),8,Like Very Much (8),8,Just about right (3),3,Like Very Much (8),8,Like Very Much (8),8,Definitely would purchase (5),5
100288,C,Female,2,56-64,5,Like Very Much (8),8,8,5,8,3,2,3,5,7,Probably would purchase (4),4,Like Very Much (8),8,Just about right (3),3,Like Extremely (9),9,Like Very Much (8),8,Just about right (3),3,Like Extremely (9),9,Like Very Much (8),8,Definitely would purchase (5),5
100289,C,Male,1,35-44,3,Like Slightly (6),6,5,6,3,5,8,8,7,2,Probably would not purchase (2),2,Like Slightly (6),6,Somewhat too much (4),4,Neither Like nor Dislike (5),5,Like Slightly (6),6,Slightly too strong (4),4,Like Moderately (7),7,Dislike Slightly (4),4,Probably would not purchase (2),2
100290,C,Male,1,35-44,3,Like Very Much (8),8,5,6,9,3,3,5,2,8,Probably would purchase (4),4,Like Very Much (8),8,Just about right (3),3,Like Very Much (8),8,Like Very Much (8),8,Just about right (3),3,Like Very Much (8),8,Like Extremely (9),9,Definitely would purchase (5),5
100291,C,Female,2,18-34,2,Neither Like nor Dislike (5),5,2,8,4,5,6,8,3,3,Might or might not purchase (3),3,Dislike Slightly (4),4,Somewhat too little (2),2,Dislike Slightly (4),4,Dislike Slightly (4),4,Not quite strong enough (2),2,Like Slightly (6),6,Neither Like nor Dislike (5),5,Probably would not purchase (2),2
100292,C,Female,2,45-55,4,Like Very Much (8),8,5,4,5,3,2,3,7,6,Probably would not purchase (2),2,Like Extremely (9),9,Just about right (3),3,Like Extremely (9),9,Like Extremely (9),9,Just about right (3),3,Like Extremely (9),9,Like Extremely (9),9,Definitely would purchase (5),5
100293,C,Female,2,35-44,3,Like Very Much (8),8,4,7,3,6,5,7,2,2,Probably would purchase (4),4,Like Very Much (8),8,Just about right (3),3,Like Moderately (7),7,Like Moderately (7),7,Just about right (3),3,Like Moderately (7),7,Like Moderately (7),7,Probably would purchase (4),4
100294,C,Female,2,45-55,4,Like Very Much (8),8,5,7,8,3,3,5,3,6,Might or might not purchase (3),3,Like Extremely (9),9,Just about right (3),3,Like Extremely (9),9,Like Extremely (9),9,Just about right (3),3,Like Extremely (9),9,Like Very Much (8),8,Probably would purchase (4),4
100295,C,Female,2,45-55,4,Like Extremely (9),9,7,8,7,7,2,4,3,3,Might or might not purchase (3),3,Like Very Much (8),8,Somewhat too little (2),2,,,Like Very Much (8),8,Not quite strong enough (2),2,Like Extremely (9),9,Like Very Much (8),8,Probably would purchase (4),4
100296,C,Female,2,45-55,4,Dislike Slightly (4),4,8,3,7,8,3,3,5,3,Might or might not purchase (3),3,Like Very Much (8),8,Just about right (3),3,Like Very Much (8),8,Like Very Much (8),8,Just about right (3),3,Like Extremely (9),9,Neither Like nor Dislike (5),5,,
100297,C,Female,2,45-55,4,Like Moderately (7),7,8,6,8,8,2,5,8,2,Probably would not purchase (2),2,Like Slightly (6),6,Just about right (3),3,Dislike Slightly (4),4,Dislike Slightly (4),4,Not quite strong enough (2),2,Neither Like nor Dislike (5),5,Neither Like nor Dislike (5),5,Definitely would not purchase (1),1
100298,C,Female,2,35-44,3,Like Very Much (8),8,8,8,8,6,3,5,4,3,Probably would purchase (4),4,Like Very Much (8),8,Somewhat too much (4),4,Like Very Much (8),8,Like Very Much (8),8,Just about right (3),3,Like Very Much (8),8,Like Very Much (8),8,Probably would purchase (4),4
100299,C,Female,2,35-44,3,Like Extremely (9),9,8,8,3,2,2,4,3,8,Definitely would purchase (5),5,Like Extremely (9),9,Just about right (3),3,Like Very Much (8),8,Like Very Much (8),8,Just about right (3),3,Like Extremely (9),9,Like Extremely (9),9,Probably would purchase (4),4
100300,C,Female,2,45-55,4,Like Very Much (8),8,7,8,8,3,4,5,4,3,Might or might not purchase (3),3,Like Very Much (8),8,Somewhat too little (2),2,Like Moderately (7),7,Like Moderately (7),7,Not quite strong enough (2),2,Like Very Much (8),8,Like Moderately (7),7,Might or might not purchase (3),3
100301,C,Female,2,56-64,5,Like Very Much (8),8,8,7,5,2,3,8,3,3,Definitely would not purchase (1),1,Like Moderately (7),7,Somewhat too little (2),2,Dislike Moderately (3),3,Neither Like nor Dislike (5),5,Not at all strong enough (1),1,Like Very Much (8),8,Neither Like nor Dislike (5),5,Definitely would not purchase (1),1
100302,C,Female,2,18-34,2,Like Moderately (7),7,8,6,3,2,3,3,2,8,Probably would purchase (4),4,Like Moderately (7),7,Just about right (3),3,Like Slightly (6),6,Like Moderately (7),7,Just about right (3),3,Like Slightly (6),6,Like Slightly (6),6,Probably would purchase (4),4
100303,C,Female,2,35-44,3,Like Extremely (9),9,5,6,6,7,2,4,3,8,Definitely would purchase (5),5,Like Extremely (9),9,Just about right (3),3,Like Extremely (9),9,Like Extremely (9),9,Just about right (3),3,Like Extremely (9),9,Like Extremely (9),9,Definitely would purchase (5),5
100304,C,Female,2,45-55,4,Like Extremely (9),9,8,6,5,7,1,3,3,5,Might or might not purchase (3),3,Like Extremely (9),9,Just about right (3),3,Like Very Much (8),8,Like Extremely (9),9,Just about right (3),3,Like Very Much (8),8,Like Very Much (8),8,Probably would purchase (4),4
100305,C,Female,2,35-44,3,Like Slightly (6),6,8,6,8,3,5,6,4,3,Probably would not purchase (2),2,Like Slightly (6),6,Just about right (3),3,Dislike Slightly (4),4,Dislike Slightly (4),4,Slightly too strong (4),4,Dislike Moderately (3),3,Dislike Very Much (2),2,Definitely would not purchase (1),1
100306,C,Female,2,18-34,2,Like Moderately (7),7,5,8,6,8,3,8,6,2,Probably would purchase (4),4,Like Very Much (8),8,Just about right (3),3,,,Like Very Much (8),8,Just about right (3),3,Like Very Much (8),8,Like Very Much (8),8,,
100307,C,Female,2,35-44,3,Like Extremely (9),9,8,5,7,2,5,2,3,7,Might or might not purchase (3),3,Like Extremely (9),9,Somewhat too little (2),2,Like Very Much (8),8,Like Very Much (8),8,Not quite strong enough (2),2,Like Very Much (8),8,Like Very Much (8),8,Might or might not purchase (3),3
100308,C,Female,2,18-34,2,Like Moderately (7),7,7,8,8,3,2,4,6,5,Might or might not purchase (3),3,Like Moderately (7),7,Somewhat too little (2),2,Like Moderately (7),7,Like Moderately (7),7,Not quite strong enough (2),2,Like Moderately (7),7,Like Moderately (7),7,Probably would not purchase (2),2
100309,C,Male,1,18-34,2,Like Extremely (9),9,8,6,8,4,3,3,2,8,Probably would purchase (4),4,Like Extremely (9),9,Just about right (3),3,Like Extremely (9),9,Like Extremely (9),9,Just about right (3),3,Like Extremely (9),9,Like Very Much (8),8,Definitely would purchase (5),5
100310,C,Female,2,18-34,2,Like Extremely (9),9,6,5,5,7,2,3,3,5,Definitely would purchase (5),5,Like Extremely (9),9,Just about right (3),3,Like Extremely (9),9,Like Extremely (9),9,Just about right (3),3,Like Extremely (9),9,Like Extremely (9),9,Definitely would purchase (5),5
100311,C,Male,1,18-34,2,Like Moderately (7),7,8,8,4,3,3,7,3,2,Might or might not purchase (3),3,Like Moderately (7),7,Just about right (3),3,Like Moderately (7),7,Like Moderately (7),7,Just about right (3),3,Like Slightly (6),6,Like Slightly (6),6,Might or might not purchase (3),3
100312,C,Female,2,35-44,3,Like Slightly (6),6,7,5,9,3,3,7,4,5,Probably would purchase (4),4,Like Moderately (7),7,Just about right (3),3,Like Moderately (7),7,Like Very Much (8),8,Just about right (3),3,Like Very Much (8),8,Like Slightly (6),6,Probably would purchase (4),4
100313,C,Female,2,35-44,3,Like Very Much (8),8,8,6,8,7,3,2,6,4,Might or might not purchase (3),3,Like Very Much (8),8,Just about right (3),3,Like Very Much (8),8,Like Very Much (8),8,Just about right (3),3,Like Very Much (8),8,Like Extremely (9),9,Probably would purchase (4),4
100314,C,Male,1,35-44,3,Like Very Much (8),8,8,5,8,4,2,5,6,7,Probably would purchase (4),4,Like Extremely (9),9,Just about right (3),3,Like Extremely (9),9,Like Extremely (9),9,Just about right (3),3,Like Very Much (8),8,Like Very Much (8),8,Probably would purchase (4),4
100315,C,Female,2,18-34,2,Like Very Much (8),8,6,4,5,3,3,4,3,5,Probably would purchase (4),4,Like Very Much (8),8,Just about right (3),3,Like Very Much (8),8,Like Very Much (8),8,Just about right (3),3,Like Very Much (8),8,Like Very Much (8),8,Probably would purchase (4),4
100316,C,Female,2,18-34,2,Like Moderately (7),7,5,6,5,3,1,6,7,2,Probably would purchase (4),4,Like Very Much (8),8,Somewhat too much (4),4,Like Moderately (7),7,Like Moderately (7),7,Slightly too strong (4),4,Like Moderately (7),7,Like Moderately (7),7,Might or might not purchase (3),3
100317,C,Female,2,35-44,3,Like Moderately (7),7,5,5,8,3,2,6,3,4,Might or might not purchase (3),3,Like Moderately (7),7,Just about right (3),3,Like Moderately (7),7,Like Moderately (7),7,Just about right (3),3,Like Very Much (8),8,Like Slightly (6),6,Probably would purchase (4),4
100318,C,Female,2,18-34,2,Dislike Slightly (4),4,5,8,6,3,3,8,7,3,Might or might not purchase (3),3,Like Slightly (6),6,Somewhat too much (4),4,Dislike Slightly (4),4,Dislike Slightly (4),4,Slightly too strong (4),4,Dislike Slightly (4),4,Dislike Slightly (4),4,Probably would not purchase (2),2
100319,C,Female,2,35-44,3,Like Extremely (9),9,8,7,8,2,3,2,4,3,Probably would purchase (4),4,Like Extremely (9),9,Just about right (3),3,Like Extremely (9),9,Like Extremely (9),9,Just about right (3),3,Like Extremely (9),9,Like Extremely (9),9,Probably would purchase (4),4
100320,C,Female,2,56-64,5,Like Moderately (7),7,8,5,8,2,8,6,4,3,Definitely would purchase (5),5,Like Very Much (8),8,Just about right (3),3,Like Slightly (6),6,Like Slightly (6),6,Much too strong (5),5,Like Moderately (7),7,Like Slightly (6),6,Might or might not purchase (3),3
100321,C,Female,2,56-64,5,Like Very Much (8),8,3,8,6,8,3,3,3,8,Probably would not purchase (2),2,Like Very Much (8),8,Just about right (3),3,Like Moderately (7),7,Like Moderately (7),7,Slightly too strong (4),4,Like Very Much (8),8,Like Moderately (7),7,Probably would not purchase (2),2
100322,C,Female,2,18-34,2,Like Extremely (9),9,7,3,4,3,3,8,3,6,Might or might not purchase (3),3,Like Slightly (6),6,Somewhat too much (4),4,Like Moderately (7),7,Like Moderately (7),7,Just about right (3),3,Like Very Much (8),8,Like Moderately (7),7,Definitely would purchase (5),5
100323,C,Female,2,35-44,3,Like Very Much (8),8,8,8,8,3,3,8,4,6,Probably would purchase (4),4,Like Very Much (8),8,Somewhat too much (4),4,Like Moderately (7),7,Like Moderately (7),7,Slightly too strong (4),4,Like Very Much (8),8,Like Moderately (7),7,Probably would not purchase (2),2
100324,C,Female,2,18-34,2,Like Moderately (7),7,7,8,6,2,2,4,3,7,Probably would purchase (4),4,Like Moderately (7),7,Somewhat too little (2),2,Like Slightly (6),6,Like Slightly (6),6,Not quite strong enough (2),2,Like Slightly (6),6,Like Moderately (7),7,Probably would not purchase (2),2
100325,C,Female,2,18-34,2,Like Very Much (8),8,3,4,5,4,5,5,3,8,Probably would purchase (4),4,Like Extremely (9),9,Just about right (3),3,Like Moderately (7),7,Like Slightly (6),6,Slightly too strong (4),4,Neither Like nor Dislike (5),5,Neither Like nor Dislike (5),5,Might or might not purchase (3),3
100326,C,Male,1,18-34,2,Like Very Much (8),8,7,3,6,3,2,3,3,9,Might or might not purchase (3),3,Like Slightly (6),6,Just about right (3),3,Like Slightly (6),6,Like Slightly (6),6,Slightly too strong (4),4,Like Moderately (7),7,Like Moderately (7),7,Probably would purchase (4),4
100327,C,Female,2,35-44,3,Like Very Much (8),8,8,8,8,2,2,6,2,3,Might or might not purchase (3),3,Neither Like nor Dislike (5),5,Somewhat too little (2),2,Like Slightly (6),6,Like Moderately (7),7,Not quite strong enough (2),2,Like Very Much (8),8,Like Moderately (7),7,Probably would not purchase (2),2
100328,C,Female,2,56-64,5,Like Very Much (8),8,7,5,7,3,5,4,2,8,Might or might not purchase (3),3,Like Slightly (6),6,Just about right (3),3,Like Moderately (7),7,Like Moderately (7),7,Just about right (3),3,Like Very Much (8),8,Neither Like nor Dislike (5),5,Probably would not purchase (2),2
